1717312965534, /, CH, 97, 60, 683635, 0
1718187653991, /, CH, 98, 59, 1371572, 0
1718187666253, /, CH, 98, 59, 1371571, 0
1718187705077, /, CH, 98, 59, 1371573, 0
1718187726010, /, CH, 98, 59, 1371568, 0
1718187757927, /, CH, 98, 59, 1051935, 0
1718187784067, /, CH, 98, 59, 994368, 0
1718187799728, /, CH, 98, 59, 730499, 0
1718187808532, /, CH, 98, 59, 1371548, 0
1718187832904, /, CH, 98, 59, 1371551, 0
1718522034721, /, CH, 98, 56, 670723, 0
1718522040145, /, CH, 98, 56, 752725, 0
1718522280740, /demo.html, CH, 98, 56, 596370, 0
1718522298527, /demo.html, CH, 98, 56, 596373, 0
1718522309656, /demo.html, CH, 98, 56, 596385, 0
1718522355028, /demo.html, CH, 98, 56, 660261, 0
1718522358804, /demo.html, CH, 98, 56, 615775, 0
1718522370417, /demo.html, CH, 98, 56, 407286, 0
1718522378747, /demo.html, CH, 98, 56, 407286, 0
1718522429918, /demo.html, CH, 98, 56, 615794, 0
1718522449846, /demo.html, CH, 98, 56, 615795, 0
1718522588454, /demo.html, CH, 98, 56, 702099, 0
1718522598943, /demo.html, CH, 98, 56, 596438, 0
1718522614744, /demo.html, CH, 98, 56, 596440, 0
1718522615599, /demo.html, CH, 98, 56, 596440, 0
1718522616653, /demo.html, CH, 98, 56, 596440, 0
1718522637693, /demo.html, CH, 98, 56, 1371605, 0
1718522661324, /demo.html, CH, 98, 56, 1371602, 0
1718522693617, /demo.html, CH, 98, 56, 596418, 0
1718522769422, /demo.html, CH, 98, 56, 1371592, 0
1718522809678, /demo.html, CH, 98, 56, 1371602, 0
1718522850474, /demo.html, CH, 98, 56, 766492, 0
1718522864155, /demo.html, CH, 98, 56, 1371612, 0
1718522873896, /demo.html, CH, 98, 56, 1371612, 0
1718522908737, /demo.html, CH, 98, 56, 1371621, 0
1718528244674, /, CH, 98, 61, 596405, 0
1718528272942, /, CH, 98, 61, 3871571, 0
1718528381426, /, CH, 98, 61, 3871565, 0
1718528697193, /, CH, 98, 61, 3046585, 0
1718528705402, /, CH, 98, 61, 3046582, 0
1718528741055, /, CH, 98, 61, 3046582, 0
1718528841721, /, CH, 98, 61, 3868418, 0
1718529075846, /, CH, 98, 61, 2854380, 0
1718529075846, /, CH, 98, 61, 229112, 0
1718529198271, /, CH, 98, 61, 3363252, 0
1718529743506, /, CH, 98, 61, 3874792, 0
1718529980289, /, CH, 98, 61, 3256089, 0
1718530010946, /, CH, 98, 61, 3256101, 0
1718530056260, /, CH, 98, 61, 3205440, 0
1718530149568, /, CH, 98, 61, 3256137, 0
1718530178106, /, CH, 98, 61, 3188161, 0
1718530227493, /, CH, 98, 61, 3138727, 0
1718530292007, /, CH, 98, 61, 3138764, 0
1718530694740, /, CH, 98, 61, 2774800, 0
1718530968976, /, CH, 98, 61, 2774916, 0
1718531447926, /, CH, 98, 61, 2734406, 0
1718531494604, /, CH, 98, 61, 2742517, 0
1718531514700, /, CH, 98, 61, 2732863, 0
1718531543031, /, CH, 98, 61, 2732873, 0
1718531574534, /, CH, 98, 61, 2732877, 0
1718531617729, /, CH, 98, 61, 2732875, 0
1718531759991, /, CH, 98, 61, 2758551, 0
1718531835175, /, CH, 98, 61, 2732875, 7482669
1718531844086, /, CH, 98, 61, 2732875, 7482669
1718531854121, /, CH, 98, 61, 2732875, 0
1718531874941, /, CH, 98, 61, 2732878, 7482669
1718531930806, /, CH, 98, 61, 2732881, 7482669
1718531975714, /, CH, 98, 61, 2734688, 0
1718532009523, /, CH, 98, 61, 2744194, 17958588
1718532052678, /, CH, 98, 61, 2732869, 0
1718532132792, /, CH, 98, 61, 2732942, 0
1718532866395, /, CH, 98, 61, 2941371, 2572138
1718533034978, /, CH, 98, 61, 2733008, 2370301
1718533047107, /, CH, 98, 61, 2775036, 0
1718533803033, /, CH, 98, 61, 2727971, 0
1718533918843, /, CH, 98, 61, 5222891, 0
1718533926932, /, CH, 98, 61, 2763655, 0
1718534008505, /, CH, 98, 61, 2727987, 0
1718534018919, /, CH, 98, 61, 2538933, 0
1718534021343, /, CH, 98, 61, 2732973, 2370301
1718534055419, /, CH, 98, 61, 2728013, 0
1718534177619, /, CH, 98, 61, 275070, 0
1718536854334, /, CH, 98, 61, 269458, 0
1718536864333, /, CH, 98, 61, 227432, 0
1718536894091, /, CH, 98, 61, 269458, 0
1718537414059, /, CH, 98, 61, 217525, 0
1718537523229, /, CH, 98, 61, 217551, 0
1718537536487, /, CH, 98, 61, 217529, 0
1718538079207, /, CH, 98, 61, 2717701, 0
1718538123296, /, CH, 98, 61, 2717706, 0
1718538179404, /, CH, 98, 61, 218039, 0
1718538195988, /, CH, 98, 61, 218042, 0
1718538202017, /, CH, 98, 61, 25270152, 0
1718538298992, /, CH, 98, 61, 240008, 0
1718538307026, /, CH, 98, 61, 275766, 0
1718538588664, /, CH, 98, 61, 275833, 0
1718541816764, /, CH, 98, 61, 256520, 4942439
1718542406015, /, CH, 98, 61, 224173, 0
1718542582988, /, CH, 98, 61, 256588, 25000000
1718543694645, /, CH, 98, 61, 245588, 0
1718543993392, /, CH, 98, 61, 256590, 25000000
1718544098405, /, CH, 98, 61, 256588, 25000000
1718545020332, /, CH, 98, 61, 256590, 0
1718545633638, /, CH, 98, 61, 256590, 0
1718545719383, /, CH, 98, 61, 256600, 0
1718545785895, /, CH, 98, 61, 256600, 0
1718545879204, /, CH, 98, 61, 256604, 0
1718545916093, /, CH, 98, 61, 256606, 0
1718545929437, /, CH, 98, 61, 224211, 0
1718545931193, /, CH, 98, 61, 256585, 0
1718545947387, /, CH, 98, 61, 256591, 0
1718546028813, /, CH, 98, 61, 256597, 0
1718546036628, /, CH, 98, 61, 256592, 0
1718546051866, /, CH, 98, 61, 256587, 0
1718546108606, /, CH, 98, 61, 256586, 0
1718546178322, /, CH, 98, 61, 256582, 0
1718546224558, /, CH, 98, 61, 256583, 0
1718546250181, /, CH, 98, 61, 256599, 0
1718546374678, /, CH, 98, 61, 256599, 0
1718546378054, /, CH, 98, 61, 256599, 0
1718546428842, /, CH, 98, 61, 256606, 0
1718546433433, /, CH, 98, 61, 256606, 0
1718546447934, /, CH, 98, 61, 256615, 0
1718546447934, /, CH, 98, 61, 300, 0
1718546507580, /, CH, 98, 61, 256615, 0
