1717312965534, /, CH, 97, 60, 683635, 0
1718187653991, /, CH, 98, 59, 1371572, 0
1718187666253, /, CH, 98, 59, 1371571, 0
1718187705077, /, CH, 98, 59, 1371573, 0
1718187726010, /, CH, 98, 59, 1371568, 0
1718187757927, /, CH, 98, 59, 1051935, 0
1718187784067, /, CH, 98, 59, 994368, 0
1718187799728, /, CH, 98, 59, 730499, 0
1718187808532, /, CH, 98, 59, 1371548, 0
1718187832904, /, CH, 98, 59, 1371551, 0
1718522034721, /, CH, 98, 56, 670723, 0
1718522040145, /, CH, 98, 56, 752725, 0
1718522280740, /demo.html, CH, 98, 56, 596370, 0
1718522298527, /demo.html, CH, 98, 56, 596373, 0
1718522309656, /demo.html, CH, 98, 56, 596385, 0
1718522355028, /demo.html, CH, 98, 56, 660261, 0
1718522358804, /demo.html, CH, 98, 56, 615775, 0
1718522370417, /demo.html, CH, 98, 56, 407286, 0
1718522378747, /demo.html, CH, 98, 56, 407286, 0
1718522429918, /demo.html, CH, 98, 56, 615794, 0
1718522449846, /demo.html, CH, 98, 56, 615795, 0
1718522588454, /demo.html, CH, 98, 56, 702099, 0
1718522598943, /demo.html, CH, 98, 56, 596438, 0
1718522614744, /demo.html, CH, 98, 56, 596440, 0
1718522615599, /demo.html, CH, 98, 56, 596440, 0
1718522616653, /demo.html, CH, 98, 56, 596440, 0
1718522637693, /demo.html, CH, 98, 56, 1371605, 0
1718522661324, /demo.html, CH, 98, 56, 1371602, 0
1718522693617, /demo.html, CH, 98, 56, 596418, 0
1718522769422, /demo.html, CH, 98, 56, 1371592, 0
1718522809678, /demo.html, CH, 98, 56, 1371602, 0
1718522850474, /demo.html, CH, 98, 56, 766492, 0
1718522864155, /demo.html, CH, 98, 56, 1371612, 0
1718522873896, /demo.html, CH, 98, 56, 1371612, 0
1718522908737, /demo.html, CH, 98, 56, 1371621, 0
1718528244674, /, CH, 98, 61, 596405, 0
1718528272942, /, CH, 98, 61, 3871571, 0
1718528381426, /, CH, 98, 61, 3871565, 0
1718528697193, /, CH, 98, 61, 3046585, 0
1718528705402, /, CH, 98, 61, 3046582, 0
1718528741055, /, CH, 98, 61, 3046582, 0
1718528841721, /, CH, 98, 61, 3868418, 0
1718529075846, /, CH, 98, 61, 2854380, 0
1718529075846, /, CH, 98, 61, 229112, 0
1718545916093, /, CH, 98, 61, 256606, 0
1718545929437, /, CH, 98, 61, 224211, 0
1718545931193, /, CH, 98, 61, 256585, 0
1718545947387, /, CH, 98, 61, 256591, 0
1718546028813, /, CH, 98, 61, 256597, 0
1718546036628, /, CH, 98, 61, 256592, 0
1718546051866, /, CH, 98, 61, 256587, 0
1718546108606, /, CH, 98, 61, 256586, 0
1718546178322, /, CH, 98, 61, 256582, 0
1718546224558, /, CH, 98, 61, 256583, 0
1718546250181, /, CH, 98, 61, 256599, 0
1718546374678, /, CH, 98, 61, 256599, 0
1718546378054, /, CH, 98, 61, 256599, 0
1718546428842, /, CH, 98, 61, 256606, 0
1718546433433, /, CH, 98, 61, 256606, 0
1718546447934, /, CH, 98, 61, 256615, 0
1718546447934, /, CH, 98, 61, 300, 0
1718546507580, /, CH, 98, 61, 256615, 0
1718546512133, /, CH, 98, 61, 416375, 0
1718546512133, /, CH, 98, 61, 300, 0
1718546642498, /, CH, 98, 61, 256599, 0
1718546665413, /, CH, 98, 61, 256607, 0
1718546709214, /, CH, 98, 61, 416348, 0
